timestamp,attention,eyes_closed
2022-09-03 16:22:00.103611,99.5,0.0
2022-09-03 16:22:00.508921,99.0,0.0
2022-09-03 16:22:00.584938,98.5,0.0
2022-09-03 16:22:00.663956,98.0,0.0
2022-09-03 16:22:00.736973,97.5,0.0
2022-09-03 16:22:00.815501,97.0,0.0
2022-09-03 16:22:00.896519,96.5,0.0
2022-09-03 16:22:00.973535,96.0,0.0
2022-09-03 16:22:01.054554,95.5,0.0
2022-09-03 16:22:01.130571,95.0,0.0
2022-09-03 16:22:01.210124,94.5,0.0
2022-09-03 16:22:01.288145,94.0,0.07802009582519531
2022-09-03 16:22:01.367162,93.5,0.0
2022-09-03 16:22:01.440109,93.0,0.0
2022-09-03 16:22:01.524136,92.5,0.0
2022-09-03 16:22:01.601151,92.0,0.0
2022-09-03 16:22:01.677462,91.5,0.0
2022-09-03 16:22:01.757486,91.0,0.0
2022-09-03 16:22:01.837124,90.5,0.0
2022-09-03 16:22:01.912467,90.0,0.07183265686035156
2022-09-03 16:22:01.993483,89.5,0.0
2022-09-03 16:22:02.071511,89.0,0.0
2022-09-03 16:22:02.147681,88.5,0.0
2022-09-03 16:22:02.214695,88.0,0.0
2022-09-03 16:22:02.291711,87.5,0.0
2022-09-03 16:22:02.371248,87.0,0.0
2022-09-03 16:22:02.450691,86.5,0.0
2022-09-03 16:22:02.529841,86.0,0.0
2022-09-03 16:22:02.608872,85.5,0.0
2022-09-03 16:22:02.688890,85.0,0.0
2022-09-03 16:22:02.769908,84.5,0.0
2022-09-03 16:22:02.849929,84.0,0.0
2022-09-03 16:22:02.926943,83.5,0.0
2022-09-03 16:22:03.006949,83.0,0.07800936698913574
2022-09-03 16:22:03.085976,82.5,0.15702581405639648
2022-09-03 16:22:03.163998,82.0,0.0
2022-09-03 16:22:03.245014,81.5,0.0
2022-09-03 16:22:03.326031,81.0,0.07801938056945801
2022-09-03 16:22:03.403050,80.5,0.0
2022-09-03 16:22:03.480067,80.0,0.0
2022-09-03 16:22:03.558079,79.5,0.0
2022-09-03 16:22:03.641323,79.0,0.0
2022-09-03 16:22:03.718509,78.5,0.0
2022-09-03 16:22:03.796523,78.0,0.0
2022-09-03 16:22:03.879541,77.5,0.0
2022-09-03 16:22:03.956558,77.0,0.0
2022-09-03 16:22:04.036583,76.5,0.0
2022-09-03 16:22:04.115949,76.0,0.0
2022-09-03 16:22:04.195495,75.5,0.0
2022-09-03 16:22:04.274945,75.0,0.0
2022-09-03 16:22:04.354260,74.5,0.0
2022-09-03 16:22:04.433278,74.0,0.0
2022-09-03 16:22:04.525300,73.5,0.0
2022-09-03 16:22:04.605497,73.0,0.0
